,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6444,139.86437932126063,142.56,62.21590678509038,67.07,142.56,Hold,Hold
6445,139.45886394350708,135.48,58.785609726211035,49.44,135.48,Hold,Hold
6446,144.2128566054384,149.09,66.809074365953,82.77,149.09,Sell,Hold
6447,139.15591136124385,130.21,59.4397763224056,45.2,130.21,Buy,Hold
6448,146.99582607165627,160.61,68.82913905207461,106.52,160.61,Sell,Hold
6449,142.09874040733993,128.83,66.8153352849863,38.32,128.83,Buy,Hold
6450,139.59404252506138,138.86,62.29487192857948,56.67,138.86,Sell,Hold
6451,141.05417246021523,141.26,62.75824123730566,64.2,141.26,Hold,Hold
6452,140.02578943335857,127.95,62.501336731327534,39.14,127.95,Buy,Hold
6453,133.1492359841038,124.61,50.33753838042805,34.93,124.61,Hold,Hold
6454,133.3690533273281,134.01,60.0449856946489,51.27,134.01,Hold,Hold
6455,133.91238522258107,130.77,34.471833773366576,43.37,130.77,Hold,Hold
6456,132.34730014635517,133.15,32.905400493074254,46.65,133.15,Hold,Hold
6457,128.30820915337011,140.25,39.227923398310054,61.61,140.25,Hold,Hold
6458,139.11667498732226,143.06,55.03703559803686,69.46,143.06,Sell,Hold
6459,146.30383757515563,147.12,84.44344681424147,80.35,147.12,Hold,Hold
6460,140.5780917713367,137.64,65.02900891992573,57.7,137.64,Hold,Hold
6461,134.5813693623345,131.02,58.37102507804009,47.57,131.02,Buy,Hold
6462,133.67554284156878,140.84,58.03805585459385,63.15,140.84,Sell,Hold
6463,136.98145973394162,132.1,57.966149947368876,49.34,132.1,Buy,Hold
6464,138.7583758208702,138.15,57.18027272869999,55.35,138.15,Hold,Hold
6465,138.03598485966418,133.6,52.692148582100515,49.8,133.6,Hold,Hold
6466,136.2098505851629,131.4,55.231661175835185,44.8,131.4,Hold,Hold
6467,121.98913684863479,118.75,36.338377301816976,19.6,118.75,Hold,Hold
6468,135.18984200113928,148.16,53.592967832629064,78.71,148.16,Sell,Hold
6469,137.73938246590444,149.87,55.11957378376006,82.22,149.87,Hold,Hold
6470,135.7907776062811,139.35,55.23762568051306,60.18,139.35,Hold,Hold
6471,135.51698784344168,129.66,52.20671715191993,39.4,129.66,Buy,Hold
6472,136.09177384111237,140.41,55.8139503376658,65.39,140.41,Sell,Hold
6473,135.4885402483831,126.15,54.05249725046436,35.23,126.15,Buy,Hold
6474,136.6071151278607,142.39,55.96489537027709,63.22,142.39,Sell,Hold
6475,137.59352837020646,135.62,56.55483532459003,52.77,135.62,Hold,Hold
